tweets
"b""I 'm Chick-fil-A Winchester , VA"""
"b'Apple Picking , Pumpkin Picking Pies Delicious Pies ( @ Virginia Farm Market Winchester , VA )'"
"b""I 'm Baan Thai Washington , DC"""
"b'Pizza Time ( _Osteria Washington DC , DC )'"
b'Taking class Back Surgery next week ( @ Outpatient Center Orthopedic Rehabilitation Hand Clinic Wa'
"b'Very Nice ( @ Dirty Goose Washington , DC )'"
"b'Fabulous Food ( @ Al Crostino Washington , D.C . )'"
"b'Restock Time ( & amp ; More Alexandria , VA )'"
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Eighteenth Street Lounge - Washington , DC"""
"b'Dinner boys ( @ Thaiphoon Washington , DC )'"
"b'Last weekend ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Celebration Time . ( Steakhouse Washington , DC )'"
"b'Dinner boys ( Washington , DC )'"
"b""I 'm Conrad Washington DC - Washington , DC"""
"b'Mac Cheese Time ( Washington , DC )'"
"b""I 'm Eighteenth Street Lounge - Washington , DC"""
"b'Enjoying My Afternoon Poolside ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Gurl Got ta Eat ! ( _Osteria Washington DC , DC )'"
"b""I 'm TRADE Washington , D.C ."""
"b""I 'm Skybox Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Georgetown Cupcake - Washington , DC"""
"b'Hi ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'First Time ( @ Pappe Washington , DC )'"
"b""I 'm Kimpton Mason & amp ; Rook Hotel - Washington , DC"""
"b'Getting Things In Line For Surgery ( @ WHC Physicians Office Building Washington , DC )'"
"b'Dinner boys . Alfresco . Finally good evening temperature wise . ( @ Beau Thai Washington , DC )'"
"b'Dinner Bruce ( Washington , DC )'"
"b'Taking Dip Two ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Fried Chicken Time ( @ Unconventional Diner - Washington , DC )'"
"b""I 'm TRADE Washington , D.C ."""
"b'Dinner Boys ( Washington , DC )'"
"b""I 'm Washington , DC"""
"b'Gurl Got ta Eat ! ! ! ( @ Allentown Service Plaza Allentown , PA )'"
"b'Bear Weekend ( @ The Lehighton , PA )'"
"b""I 'm Washington , DC"""
"b'Beautiful Day To Be At The Pool ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Time To Dip ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Baan Thai Washington , DC"""
"b'Dinner boys ( Washington , DC )'"
"b'Time To Sweat It Out ! ! ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Where Beautiful People Hang ( Club Washington , DC )'"
"b'Dinner Bruce ( @ Unconventional Diner - Washington , DC )'"
"b""I 'm Espita Mezcaleria Washington , DC"""
"b""I 'm Grill + Bar Aston , PA"""
"b'Funeral ( @ Lawn Croft Cemetery Marcus Hook , PA )'"
"b'Here funeral ( @ St. Josephs Church Aston , PA )'"
"b'Goody Way To End A Holiday Weekend ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Happy Happy 4th Everyone ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Taking Dip Two ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Hanging Drinking With The Boys ( Steakhouse Washington , DC )'"
"b'Splish Splash . Pool Time . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm TRADE Washington , D.C ."""
"b'Turn The Heat ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Washington , DC"""
"b'Pride Splash ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Al Crostino Washington , D.C ."""
"b""I 'm Washington , DC"""
"b'Let Pride Weekend Begin ! ( Washington , DC )'"
"b'Beautiful Day ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Washington , DC"""
"b""I 'm Baan Thai / Tsunami Sushi Washington , DC"""
"b""It 's A Packed Party Tonight ( Washington , DC )"""
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
b'Pool Time . Another Summer Poolside Washington Plaza . One best membership DC ( @ Washingto'
"b""Time Sweet Treat ( @ Jeni 's Splendid Ice Creams - Washington , DC )"""
"b'Dinner Bruce Kurt ( Washington , DC )'"
"b'Pool Season Begins ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm _Osteria Washington DC , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b'Cookies ( @ Firehook Bakery Washington , DC )'"
"b""I 'm Washington , DC"""
b'National Symphony Orchestra Pop Concert Vanessa Williams ( @ The John F. Kennedy Center Performing Arts'
"b'Pizza Time ( _Osteria Washington DC , DC )'"
"b'Cocktail Time Rooftop ( @ Kimpton Mason & amp ; Rook Hotel - Washington , DC )'"
"b'Dinner Boys ( @ Boqueria Washington , DC )'"
"b'Dinner Bruce ( Washington , DC )'"
"b'Dinner Bruce Lee ( @ Unconventional Diner - Washington , DC )'"
"b'Dining Alfresco ( Washington , DC )'"
"b'Game Thrones ! ( @ The Iowa Washington , DC )'"
"b""Moody 's Party ( @ Sax - Washington , DC )"""
"b'Dinner Boys ( @ Brasserie Beck - Washington , DC )'"
"b'Dinner Bruce ( @ Beau Thai Washington , DC )'"
"b'The Line Long ( Washington , DC )'"
"b""Cinnamon Brown Sugar Ted 's Tart ( Washington , DC )"""
"b'Dinner Bruce ( Washington , DC )'"
"b""Fried Chicken ( @ Henry 's Soul Cafe Washington , DC )"""
"b'Dinner Bruce ( Washington , DC )'"
"b'Birthday Dinner ( Washington , DC )'"
"b'Birthday Cocktails Bruce ( @ Tiger Fork Washington , Dc )'"
"b'Dinner The Boys ( @ Del Mar de Fabio Trabocchi Washington , DC )'"
"b""I 'm _Osteria Washington DC , DC"""
"b""I 'm Washington , DC"""
"b""It 's What I Crave ( @ Georgetown Cupcake - Washington , DC )"""
"b""I 'm D.C. Lottery Washington , DC"""
"b""I 'm Washington , DC"""
"b'Dinner Bruce ( @ Unconventional Diner - Washington , DC )'"
"b'Bruce I ( Washington , DC )'"
"b'Dinner With The Boys ( @ Bibiana - Washington , DC )'"
"b'Having Cocktails ( _Friscos Double Eagle Steakhouse Washington , DC )'"
"b""I 'm & amp ; More Alexandria , VA"""
"b""I 'm Washington , DC"""
"b""I 'm Georgetown Cupcake - Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Baan Thai / Tsunami Sushi Washington , DC"""
"b""I 'm The Meatball Shop Washington , DC"""
"b""I 'm Steakhouse Washington , DC"""
"b'Dinner boys ( @ The Washington , DC )'"
"b""I 'm The Factory Washington , DC"""
"b'New Years Dinner With Bruce ( Washington , DC )'"
"b""I 'm WHC Physicians Office Building Washington , DC"""
"b'Giving Thanks To Be Alive ( @ Foundry United Methodist Church Washington , DC )'"
"b'Time To Eat ( @ Baan Thai / Tsunami Sushi Washington , DC )'"
"b""I 'm Washington , DC"""
"b'Hanging boys ( @ TRADE Washington , D.C . )'"
"b""I 'm Washington , DC"""
"b'Gay Mens Chorus ( @ The Lincoln Theatre - Washington , DC )'"
"b'Here I one Favorite restaurant ( @ Al Crostino Washington , D.C . )'"
"b'1st Time ( @ Momofuku CCDC Washington , D.C . )'"
"b""I 'm NoPa Kitchen + Bar - Washington , DC"""
"b""I 'm @ _Visionworks Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm MGM National Harbor - Oxon Hill , MD"""
"b'First Time Here ( @ The Meatball Shop Washington , DC )'"
"b""I 'm MGM National Harbor - Oxon Hill , MD"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Baan Thai / Tsunami Sushi Washington , DC"""
"b'Busy Night ( Washington , DC )'"
"b""I 'm Georgetown Cupcake - Washington , DC"""
"b'HIGH HEEL RACE ( @ 17th Street Northwest Washington , DC )'"
"b""I 'm Unconventional Diner - Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm The Washington , DC"""
"b'Love Love Love This Restaurant ( @ Al Crostino Washington , D.C . )'"
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Baan Thai / Tsunami Sushi Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b'Happy Hour ( @ The Iowa Courtyard Washington , DC )'"
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b'Cocktails Time ( @ Espita Mezcaleria Washington , DC )'"
"b'Oh ... What Summer ! ! ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Washington , DC"""
"b'One favorite ( Washington , DC )'"
"b'Cool Place To Hang Outside ( Washington , DC )'"
"b'Pool Time ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Washington , DC"""
"b'Pool Time ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm _DC Washington , DC"""
"b'Dinner With The Boys ( @ Unconventional Diner - Washington , DC )'"
"b'My Favorite DC Place Loving It ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Washington , DC"""
"b'Time To Take A Dip ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""Stoffa Family Reunion ( @ Carmen 's Country Inn Drums , PA )"""
"b""I 'm Rice Washington , DC"""
"b'Wish You Were Here ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Hot HoT HOT ! ! ! Another Day At The Pool ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Georgetown Cupcake - Washington , DC"""
"b""I 'm _Osteria Washington DC , DC"""
"b'Pool Time ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Soaking Up The Sunshine ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Hanging Poolside ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Washington , DC"""
"b'With The Boys ( Washington , DC )'"
"b""Pop Bang Sparkle Happy Happy 4th Week Y'all ( @ Washington Plaza Hotel Pool Washington , DC )"""
"b""I 'm Iowa Condominium Rooftop Washington , D.C ."""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b'The Last Dance ( @ Town Danceboutique - Washington , DC )'"
"b'First Time ( Washington , DC )'"
"b'Fun Times ( @ Town Danceboutique - Washington , DC )'"
"b""I 'm Washington , DC"""
"b'Late Afternoon Poolside ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Pool By Twilight ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Good Times ( @ Baan Thai / Tsunami Sushi Washington , DC )'"
"b'Bruce I ( Washington , DC )'"
"b'One My Favorite Places DC ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'With Bruce ( Washington , DC )'"
"b'Pool Time ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Capital Pride Washington , D.C ."""
"b'Pride Pool Time ( @ Washington Plaza Hotel Washington , DC )'"
"b'Pool Time ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Bear Happy Hour ( @ Town Danceboutique - Washington , DC )'"
"b'The Weekend Has Started ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Beau Thai Washington , DC"""
"b'Bear Happy Hour ( @ Town Danceboutique - Washington , DC )'"
"b""I 'm Nellie 's Sports Bar - Washington , DC"""
"b'Pool Season Has Begun ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Dinner Boys ( Steakhouse Washington , DC )'"
"b'Dinner Bruce Kurt ( @ Al Crostino Washington , D.C . )'"
"b'Bear Happy Hour ( @ Town Danceboutique - Washington , DC )'"
"b""I 'm Le Diplomate Washington , D.C. , DC"""
"b'Wow ! ( @ Unconventional Diner - Washington , DC )'"
"b'Bear Happy Hour ( @ Town Danceboutique - Washington , DC )'"
"b""I 'm Georgetown Cupcake - Washington , DC"""
"b""I 'm Washington , DC"""
"b'Getting My Swirl Margarita On ( Restaurant Washington , DC )'"
"b""I 'm Kirwans Wharf Washington , DC"""
"b""I 'm Recreation Pier Washington , D.C ."""
"b""I 'm _DC Washington , DC"""
"b""I 'm Washington , DC"""
"b'Dinner With Bruce ( Washington , DC )'"
"b""I 'm Beau Thai Washington , DC"""
"b'For Dine Out For Life ( @ Pearl Dive Oyster Palace - Washington , DC )'"
"b""It 's Been Awhile Since We Have Dined Here . Bring On The Cadillac Margarita ( Restaurant Washingt"""
"b'Dinner Bruce ( @ Baan Thai / Tsunami Sushi Washington , DC )'"
"b'Changing Tire ( @ Audi Tysons Corner Vienna , VA )'"
"b""Happy Hour Fellow Washington Plaza Hotel Pool Members . Ca n't wait open . ( @ Kimpton Mason & amp ; Rook Hot"""
"b""I 'm McLean , VA"""
"b""I 'm McLean , VA"""
